,,,,valence,valence,arousal,arousal,valence,valence,arousal,arousal,valence,valence,arousal,arousal,,,,,Lexical ,Lexical,,,,,,
French,English,Picture,Picture,all,all,all,all,male,male,male,male,female,female,female,female,Number,Number,Number,Grammatical,Frequency,Frequency ,Imageability,Bonin,Gilet,Niedenthal,Ric,Syssau
Words,Translation,Source,Number,Mean,ET,Mean,ET,Mean,ET,Mean ,ET,Mean ,ET,Mean ,ET,of letters,of phonems,of syllables,Class,in films,in books,Mean,et al. (2003),et al. (2012),et al. (2004),et al. (2013),& Font (2005)
bulle ,bubble,B,55,6.39,1.91,3.82,2.59,6.06,1.98,3.18,2.30,6.67,1.85,4.33,2.74,5,3,1,NOUN,2.99,6.62,6.43,1,,,,
bureau,desk,AF,72,4.08,1.44,2.65,1.69,4.53,1.33,2.59,1.80,3.70,1.45,2.70,1.63,6,4,2,NOUN,156.68,130.07,6.24,1,,,,1
burin,chisel,,,4.05,1.65,4.39,2.45,4.67,0.65,4.17,2.72,3.97,1.77,4.43,2.42,5,4,2,NOUN,0.57,1.96,1.56,1,,,,1
bus,bus,AF,39,3.65,2.15,3.19,2.64,3.41,1.84,2.65,2.06,3.85,2.41,3.65,3.03,3,3,1,NOUN,50.63,10.54,6.90,1,,,,1
cacahuète,peanut,AF,165,6.10,1.63,3.88,2.34,5.89,1.49,4.39,2.23,6.22,1.72,3.59,2.39,9,7,3,NOUN,1.71,0.74,6.11,1,,,,1
cactus,cactus,AF,333,4.29,2.05,4.42,2.33,4.65,2.00,5.53,2.18,4.00,2.10,3.52,2.09,6,6,2,NOUN,2.86,2.30,6.73,1,,,,1
cadeau ,present,B,56,7.86,1.51,6.68,2.61,7.24,1.82,6.18,2.63,8.40,0.94,7.10,2.59,6,4,2,NOUN,98.09,32.77,6.53,1,,,,
cadenas,padlock,,,4.12,1.61,3.39,2.24,4.44,1.51,4.22,1.86,4.08,1.63,3.29,2.28,7,6,3,NOUN,2.10,2.43,6.70,1,,,,1
cafard,roach,,,2.09,1.45,5.00,2.70,3.25,1.67,3.75,2.12,1.96,1.38,5.14,2.73,6,5,2,NOUN,5.77,7.84,3.66,,,,,1
café,coffee,,,5.88,2.16,5.69,2.88,6.08,1.78,4.67,2.64,5.85,2.23,5.88,2.90,4,4,2,NOUN,157.56,154.93,6.59,,,,,1
cafetière ,coffeepot,B,58,5.41,2.44,4.05,2.98,6.18,2.40,4.59,3.00,4.75,2.34,3.60,2.96,9,8,3,NOUN,1.92,5.54,6.41,1,,,,
cage ,cage,AF,329,2.53,1.75,4.37,2.91,2.59,1.62,4.59,3.02,2.48,1.89,4.19,2.87,4,3,1,NOUN,16.61,34.86,6.59,1,,,,
cahier ,exercise book,B,59,4.50,2.08,2.82,1.66,4.59,2.12,2.53,1.81,4.43,2.09,3.05,1.53,6,4,2,NOUN,5.04,20.07,6.33,1,,,,1
