,,,,valence,valence,arousal,arousal,valence,valence,arousal,arousal,valence,valence,arousal,arousal,,,,,Lexical ,Lexical,,,,,,
French,English,Picture,Picture,all,all,all,all,male,male,male,male,female,female,female,female,Number,Number,Number,Grammatical,Frequency,Frequency ,Imageability,Bonin,Gilet,Niedenthal,Ric,Syssau
Words,Translation,Source,Number,Mean,ET,Mean,ET,Mean,ET,Mean ,ET,Mean ,ET,Mean ,ET,of letters,of phonems,of syllables,Class,in films,in books,Mean,et al. (2003),et al. (2012),et al. (2004),et al. (2013),& Font (2005)
gauche,left,,,5.06,1.63,3.02,2.29,5.22,1.11,3.33,1.94,4.97,1.87,2.84,2.48,6,3,1,NOUN,71.66,133.78,4.50,,,,,
gaufre,waffle,,,7.34,1.49,5.24,2.60,7.11,1.64,5.00,2.38,7.47,1.41,5.38,2.74,6,4,1,NOUN,0.58,0.68,6.50,,,,,
génie,genius,,,7.21,1.50,5.47,2.34,7.00,1.41,5.58,2.68,7.25,1.52,5.45,2.29,5,4,2,NOUN,34.65,47.43,3.92,,,,,1
genre,type,,,5.20,0.73,3.41,1.96,5.00,0.00,4.22,1.86,5.23,0.77,3.31,1.96,5,3,1,NOUN,219.66,155.20,2.78,,,,,1
gens ,people,,,5.11,2.17,4.65,2.68,5.12,1.87,4.29,2.57,5.10,2.45,4.95,2.80,4,2,1,NOUN,594.29,409.39,5.20,,,,,
gentillesse,kindness,,,8.11,1.39,4.47,2.98,7.65,1.77,4.00,2.50,8.48,0.87,4.86,3.32,11,7,3,NOUN,6.96,15.27,2.97,,,,,1
geste,movement,,,5.24,1.34,3.49,2.06,4.76,1.20,2.76,2.08,5.65,1.35,4.10,1.89,5,4,1,NOUN,31.41,172.03,4.30,,,,,
gilet,vest,AF,247,5.16,1.91,3.59,2.70,5.12,2.15,3.71,3.04,5.20,1.74,3.50,2.46,5,4,2,NOUN,5.13,13.72,6.35,1,,,,1
girafe,giraffe,AF,103,6.02,1.81,4.28,2.51,5.33,1.64,4.11,2.25,6.41,1.81,4.38,2.67,6,5,2,NOUN,2.71,1.89,6.98,1,,,,1
glace,ice,,,7.06,1.83,5.50,2.45,6.72,1.71,5.28,2.54,7.25,1.90,5.63,2.43,5,4,1,NOUN,58.09,76.01,6.38,1,,,,1
gloire,fame,,,7.63,1.46,6.48,2.18,7.38,2.00,6.50,2.98,7.66,1.40,6.48,2.10,6,5,1,NOUN,34.78,48.51,2.80,,,,,1
gomme ,eraser,B,143,4.92,1.32,2.58,1.90,4.61,1.20,2.72,1.90,5.09,1.38,2.50,1.92,5,3,1,NOUN,3.21,9.26,6.70,1,,,,1
gorge,throat,,,4.54,1.68,3.50,2.27,4.78,1.90,4.33,2.30,4.41,1.56,3.03,2.15,5,4,1,NOUN,29.57,82.64,6.13,,,,,
gorille,gorilla,AF,108,5.41,1.89,4.32,2.80,5.88,1.76,4.29,2.87,5.00,1.95,4.35,2.81,7,5,2,NOUN,3.55,2.03,6.67,1,,,,1
gourde ,water bottle,B,144,5.22,1.73,3.39,2.21,5.26,1.88,3.82,2.19,5.19,1.66,3.05,2.22,6,4,1,NOUN,2.56,4.59,6.10,1,,,,
goutte ,drop,B,145,5.11,2.52,3.29,2.07,5.94,2.33,2.71,1.90,4.43,2.52,3.76,2.12,6,3,1,NOUN,19.09,30.34,6.00,1,,,,
grain ,grain,,,5.14,1.31,2.94,2.16,5.39,1.46,4.00,2.28,5.00,1.22,2.34,1.88,5,3,1,NOUN,10.74,24.26,6.35,,,,,
grand,big,,,6.14,1.62,4.75,2.40,6.08,1.44,4.50,2.39,6.15,1.66,4.80,2.41,5,3,1,ADJ,338.27,537.97,5.10,,,,,1
grenouille,frog,AF,100,5.62,1.80,3.95,2.41,6.12,1.65,3.82,2.43,5.20,1.85,4.05,2.46,10,6,2,NOUN,5.74,4.59,6.92,1,,,,1
griffe ,claw,B,148,4.78,2.14,4.22,2.39,5.61,2.03,5.06,2.39,4.31,2.09,3.75,2.30,6,4,1,NOUN,1.06,2.70,5.84,1,,,,
grille-pain,toaster,AF,234,5.22,1.65,3.47,2.33,5.00,1.37,2.82,2.13,5.41,1.87,4.03,2.40,11,6,2,NOUN,2.90,0.27,6.78,1,,,,
grimace,grimace,,,5.49,2.34,4.32,2.58,5.41,2.29,3.71,2.31,5.55,2.44,4.85,2.74,7,6,2,NOUN,2.28,22.57,5.84,,,,,1
groupe,group,,,5.81,1.76,4.54,2.04,6.24,1.75,4.59,1.73,5.45,1.73,4.50,2.31,6,4,1,NOUN,90.16,85.88,4.62,,,,,
grue,crane,,,4.93,1.14,3.64,2.02,5.22,1.56,4.33,1.66,4.89,1.08,3.55,2.06,4,3,1,NOUN,3.54,2.84,5.11,1,,,,1
guerre,war,,,2.38,1.74,5.68,2.79,3.18,2.04,5.82,2.38,1.70,1.08,5.55,3.15,6,3,1,NOUN,212.82,338.65,5.70,,,,,1
guitare,guitar,AF,111,6.46,1.86,5.14,2.51,6.53,1.50,4.41,2.09,6.40,2.16,5.75,2.71,7,5,2,NOUN,12.78,11.55,6.91,1,,,,1
gym,gym,,,6.05,1.93,5.33,2.53,5.63,0.92,4.00,1.85,6.10,2.02,5.48,2.56,3,3,1,NOUN,9.18,2.23,5.90,,,,,1
hache,axe,AF,12,4.51,2.27,3.81,2.33,5.76,1.68,4.71,2.17,3.45,2.19,3.05,2.24,5,2,1,NOUN,8.73,11.76,6.58,1,,,,1
haine,hate,,,1.56,1.16,7.06,2.45,2.17,1.80,7.25,1.96,1.58,1.45,7.03,2.54,5,2,1,NOUN,31.49,49.39,3.04,,,,,1
harpe,harp,,,6.58,1.67,2.78,2.15,6.89,1.27,3.11,2.20,6.54,1.72,2.74,2.16,5,3,1,NOUN,0.94,4.86,6.18,1,,,,1
hélice,propeller,,,4.86,0.97,4.42,2.27,5.13,1.36,3.50,1.69,4.83,0.93,4.52,2.32,6,4,2,NOUN,1.90,2.36,5.77,1,,,,1
hélicoptère,helicopter,AF,120,5.58,2.15,5.03,2.64,6.06,2.25,5.65,2.50,5.19,2.04,4.52,2.69,11,9,4,NOUN,10.98,2.43,6.63,1,,,,1
hérédité,heredity,,,5.29,1.65,3.92,1.96,5.33,1.44,4.17,2.37,5.28,1.69,3.88,1.89,8,7,4,NOUN,0.71,3.99,,,,,,1
hérisson ,hedgehog,B,154,6.22,1.73,3.92,2.47,6.82,1.33,4.12,2.26,5.70,1.89,3.75,2.67,8,5,3,NOUN,0.69,1.76,5.54,1,,,,1
heure,hour,,,4.14,1.83,3.76,2.24,4.00,1.21,4.25,2.35,4.24,2.21,3.38,2.13,5,2,1,NOUN,415.40,439.86,4.61,,,,,1
hibou,owl,AF,160,5.76,1.89,3.30,2.46,6.47,1.74,4.12,2.80,5.15,1.84,2.60,1.93,5,3,2,NOUN,4.08,2.36,6.87,1,,,,1
hier,yesterday,,,4.95,1.73,3.65,2.60,4.65,1.77,4.00,2.57,5.20,1.70,3.35,2.64,4,3,1,NOUN,223.77,92.64,2.90,,,,,
hippocampe,hippocampus,,,6.38,1.56,3.43,2.23,5.67,2.00,4.16,1.42,6.48,1.49,3.33,2.30,10,6,3,NOUN,0.58,0.27,5.98,1,,,,1
hippopotame,hippopotamus,,,6.13,1.74,4.04,2.27,6.25,1.75,4.13,1.96,6.11,1.75,4.03,2.31,11,8,4,NOUN,1.45,0.54,6.85,1,,,,1
homard,lobster,,,5.55,1.87,4.01,2.20,6.17,1.70,4.58,2.50,5.44,1.89,3.91,2.15,6,4,2,NOUN,3.79,3.51,6.70,1,,,,1
homme,man,,,6.86,2.18,5.97,2.88,6.00,2.09,4.53,3.18,7.60,2.01,7.20,1.94,5,2,1,NOUN,781.11,852.23,6.67,,,,,1
horloge,clock,AF,60,4.57,1.83,4.16,2.23,5.00,2.12,4.53,2.18,4.20,1.51,3.85,2.28,7,5,2,NOUN,9.37,13.99,6.84,1,,,,1
horreur,horror,,,3.72,2.87,5.20,2.86,5.56,2.62,4.94,2.58,2.69,2.49,5.34,3.03,7,4,2,NOUN,39.79,61.35,3.51,,,1,,1
hotte ,hood,,,5.43,1.46,4.11,2.46,5.59,1.66,4.35,2.57,5.30,1.30,3.90,2.40,5,2,1,NOUN,1.00,2.43,3.71,1,,,,
houx,holly,,,5.66,1.32,3.66,2.07,5.00,0.50,4.00,1.58,5.75,1.38,3.61,2.14,4,1,1,NOUN,0.07,1.28,5.90,1,,,,1
huître,oyster,,,3.77,2.38,3.75,2.30,4.50,2.78,3.63,2.45,3.69,2.34,3.76,2.30,6,4,1,NOUN,1.41,2.70,6.16,1,,,,1
humeur,mood,,,6.53,1.67,5.05,2.43,6.00,1.81,3.83,3.04,6.63,1.64,5.28,2.26,6,4,2,NOUN,29.80,52.57,3.00,,,,,1
humour,humor,,,8.43,1.28,6.24,2.71,8.06,1.71,6.71,2.59,8.75,0.64,5.85,2.81,6,4,2,NOUN,17.22,16.76,3.15,,,,,1
hypothèse,hypothesis,,,5.45,1.16,3.90,2.04,5.22,1.20,4.44,2.19,5.49,1.17,3.82,2.02,9,6,3,NOUN,7.47,12.91,2.52,,,,,1
idée,idea,,,7.00,1.70,5.00,2.89,7.18,1.55,5.41,3.48,6.85,1.84,4.65,2.30,4,3,2,NOUN,330.39,241.08,3.27,,,,,1
île ,island,B,159,7.94,1.28,6.42,2.31,7.56,1.38,5.72,2.47,8.16,1.19,6.81,2.16,3,2,1,NOUN,50.20,83.58,6.40,1,,,,
illusion,illusion,,,4.67,2.05,4.91,2.18,5.38,2.07,4.38,2.20,4.59,2.05,4.97,2.19,8,6,3,NOUN,11.19,30.27,3.38,,,,,1
imagination,imagination,,,7.73,1.30,6.03,2.79,7.53,1.23,5.29,3.12,7.90,1.37,6.65,2.39,11,10,5,NOUN,27.14,45.81,2.91,,,,,1
immensité,immensity,,,6.45,2.06,5.69,2.56,6.58,2.39,6.33,2.64,6.43,2.02,5.57,2.54,9,7,4,NOUN,1.52,7.97,3.36,,,,,1
index,index,,,4.99,0.87,3.21,1.96,4.56,1.33,4.00,1.73,5.04,0.78,3.10,1.97,5,5,2,NOUN,2.18,32.43,4.58,,,,,1
indien ,indian,B,160,5.81,1.66,4.00,2.32,6.06,1.52,4.71,2.26,5.60,1.79,3.40,2.26,6,4,2,NOUN,4.13,0.47,5.97,1,,,,
infini,infinity,,,6.53,1.70,4.82,2.63,5.88,1.25,4.00,2.83,6.61,1.74,4.92,2.61,6,5,3,NOUN,3.38,17.70,2.63,,,,,1
infirmière ,nurse,B,161,5.92,2.23,4.70,2.83,6.41,2.48,5.24,3.03,5.50,1.96,4.25,2.63,10,8,3,NOUN,27.14,22.97,6.12,1,,,,
injustice,injustice,,,1.39,0.78,7.44,2.04,1.75,0.97,7.75,1.48,1.46,1.30,7.38,2.13,9,7,3,NOUN,4.61,11.49,2.51,,,,,1
intelligence,intelligence,,,7.08,1.83,5.84,2.22,6.71,2.14,5.35,2.37,7.40,1.50,6.25,2.05,12,8,4,NOUN,18.27,36.22,2.63,,,,,1
interrupteur,switch,,,4.83,0.75,3.66,2.25,4.78,0.67,3.78,1.86,4.84,0.77,3.65,2.31,12,9,4,NOUN,2.58,2.09,5.18,1,,,,1
intuition,intuition,,,7.11,1.33,5.09,2.23,6.25,1.04,4.88,2.42,7.21,1.33,5.11,2.23,9,7,3,NOUN,8.64,9.80,2.62,,,,,1
ironie,sarcasm,,,6.16,1.99,5.73,2.25,6.50,1.98,6.08,2.19,6.09,2.00,5.66,2.27,6,5,3,NOUN,6.00,23.78,2.09,,,1,,1
isolement,isolation,,,2.09,1.33,4.47,2.83,3.89,0.93,4.56,1.67,1.85,1.19,4.46,2.96,9,7,4,NOUN,5.63,7.91,3.10,,,,,1
jalousie,jealousy,,,2.68,1.91,6.18,2.92,3.89,1.81,5.94,2.60,2.00,1.63,6.31,3.12,8,6,3,NOUN,13.20,22.09,3.29,,,1,,1
jambe,leg,AF,134,5.46,1.35,3.46,2.60,5.82,1.47,4.24,2.95,5.15,1.18,2.80,2.12,5,3,1,NOUN,46.31,49.93,6.72,1,,,,1
jambon ,ham,B,162,6.73,1.48,3.84,2.53,6.82,1.70,3.94,2.75,6.65,1.31,3.75,2.40,6,4,2,NOUN,8.94,11.01,6.70,1,,,,
jardin,garden,,,6.81,1.75,3.89,2.62,6.94,1.56,4.53,2.76,6.70,1.92,3.35,2.43,6,5,2,NOUN,54.01,148.72,6.45,,,,,1
jaune,yellow,,,5.89,1.31,3.95,2.04,5.76,0.90,3.94,2.05,6.00,1.59,3.95,2.09,5,3,1,ADJ,15.48,75.81,6.00,,,,,1
jeu,play,,,7.70,1.15,6.70,2.18,7.88,1.05,6.65,2.34,7.55,1.23,6.75,2.10,3,2,1,NOUN,156.79,130.68,5.30,,,,,1
jeune,young person,,,7.05,1.53,5.70,2.59,6.82,1.91,5.47,2.67,7.25,1.12,5.90,2.57,5,3,1,NOUN,18.16,17.77,5.50,,1,,,1
joie,joy,,,8.58,0.73,7.50,1.95,8.39,0.85,6.89,2.22,8.69,0.64,7.84,1.72,4,3,1,NOUN,71.07,134.12,4.17,,,1,,1
joli,pretty,,,7.85,1.18,5.27,2.41,7.75,1.58,5.75,1.58,7.86,1.14,5.21,2.49,4,4,2,ADJ,94.55,44.53,,,,,,1
jouet,toy,,,6.86,1.44,5.66,2.10,7.11,1.57,6.39,2.06,6.72,1.37,5.25,2.03,5,3,1,NOUN,11.82,7.03,6.40,,,,,
journal ,newspaper,B,164,4.97,1.82,3.30,2.36,5.35,1.93,3.06,2.49,4.65,1.69,3.50,2.28,7,6,2,NOUN,72.50,124.32,6.46,1,,,,1
jugement,judgement,,,4.03,1.79,4.91,2.23,5.33,1.23,4.58,2.61,3.78,1.78,4.97,2.17,8,6,3,NOUN,19.92,24.12,3.04,,,,,1
jumelles,binoculars,AF,264,5.68,2.43,3.82,2.81,6.29,2.20,3.82,2.63,5.19,2.54,3.81,3.01,8,5,2,NOUN,4.89,12.70,6.45,1,,,,1
jungle,jungle,,,6.59,2.20,5.49,2.92,7.53,1.62,5.88,2.96,5.80,2.35,5.15,2.92,6,4,1,NOUN,16.25,7.43,6.31,,,,,
jupe,skirt,AF,205,6.30,2.12,4.65,2.67,6.06,2.19,4.65,2.98,6.50,2.09,4.65,2.46,4,3,1,NOUN,10.12,34.05,6.50,1,,,,1
jus ,juice,,,6.81,1.56,4.59,2.15,7.24,1.20,4.65,2.26,6.45,1.76,4.55,2.11,3,2,1,NOUN,22.36,23.04,6.39,,,,,
justice,justice,,,5.65,2.61,5.51,2.57,5.65,2.69,4.82,2.92,5.65,2.60,6.10,2.13,7,6,2,NOUN,50.96,46.22,2.97,,,,,1
kangourou,kangaroo,AF,126,6.57,1.80,4.95,3.14,6.24,1.30,4.29,3.04,6.85,2.13,5.50,3.20,9,6,3,NOUN,1.42,1.15,6.81,1,,,,1
klaxon ,horn,B,166,4.41,2.50,4.92,3.09,3.88,2.67,4.82,3.17,4.85,2.32,5.00,3.11,6,6,2,NOUN,4.89,3.24,5.40,1,,,,
lacet ,shoelace,B,168,4.84,0.60,2.54,1.97,4.71,0.85,2.65,2.03,4.95,0.22,2.45,1.96,5,4,2,NOUN,0.83,5.27,6.58,1,,,,
laid,ugly,,,2.53,1.42,4.05,2.33,3.00,2.40,4.89,2.89,2.47,1.25,3.94,2.25,4,2,1,ADJ,9.52,10.41,4.40,,,,1,1
laine,wool,,,5.61,2.18,2.92,2.21,5.65,1.93,2.41,1.77,5.57,2.40,3.33,2.48,5,3,1,NOUN,6.27,34.86,6.30,,,,,1
laisse ,leash,,,4.52,1.58,3.32,2.35,4.61,1.24,3.83,2.20,4.47,1.76,3.03,2.42,6,3,1,NOUN,69.88,18.85,3.30,1,,,,
lait,milk,,,5.47,2.51,3.08,2.15,6.12,1.90,3.06,1.78,4.95,2.85,3.10,2.45,4,2,1,NOUN,59.41,62.23,6.56,1,,,,1
laitue,lettuce,,,5.59,1.53,3.10,2.02,5.13,1.13,2.38,1.92,5.65,1.57,3.18,2.02,6,4,2,NOUN,1.97,1.62,6.80,,,,,1
lampe,lamp,AF,132,5.39,1.65,3.16,1.90,5.35,1.73,3.59,2.27,5.43,1.63,2.81,1.50,5,3,1,NOUN,22.22,70.88,6.77,1,,,,1
landau,baby carriage,AF,13,5.59,2.39,3.78,2.58,5.12,2.26,3.71,2.37,6.00,2.47,3.85,2.81,6,4,2,NOUN,0.98,3.65,3.11,1,,,,
langue ,tongue,B,171,6.22,1.75,4.92,2.64,6.29,1.53,3.71,2.42,6.15,1.95,5.95,2.42,6,3,1,NOUN,58.95,103.78,6.05,1,,,,
lapin,rabbit,AF,182,6.84,1.68,4.62,2.54,6.53,1.84,4.71,2.42,7.10,1.52,4.55,2.70,5,4,2,NOUN,26.59,16.76,6.94,1,,,,1
large,wide,,,4.52,1.49,3.66,2.09,4.67,0.78,3.67,2.35,4.49,1.59,3.66,2.06,5,4,1,ADJ,14.25,70.54,3.80,,,,,1
larme ,tear,B,172,2.49,1.82,5.41,2.75,2.88,1.96,5.53,2.72,2.15,1.66,5.30,2.85,5,4,1,NOUN,5.15,10.81,6.35,1,,,,
lassitude,lassitude,,,2.44,1.45,3.78,2.52,3.22,1.30,4.11,2.47,2.34,1.44,3.74,2.54,9,7,3,NOUN,1.57,16.82,2.13,,,1,,1
lavabo ,washbasin,B,173,5.04,1.16,2.74,1.85,4.83,0.99,3.28,1.99,5.16,1.25,2.44,1.72,6,6,3,NOUN,2.56,13.85,6.67,1,,,,
léger,light,,,6.57,1.42,3.20,2.03,5.38,0.92,2.63,1.69,6.70,1.41,3.27,2.06,5,4,2,ADJ,17.03,74.93,,,1,,,1
légume,vegetable,,,6.03,1.95,3.83,2.21,5.67,1.56,3.42,2.07,6.09,2.01,3.91,2.25,6,5,2,NOUN,3.20,2.09,6.54,,,,,1
lent,slow,,,3.87,1.67,3.09,2.43,4.00,1.41,4.78,2.86,3.85,1.71,2.87,2.30,4,2,1,ADJ,9.15,23.31,3.80,,,,1,1
léopard,leopard,AF,136,6.11,2.00,5.35,2.78,6.24,1.60,4.94,2.77,6.00,2.32,5.70,2.81,7,6,3,NOUN,3.18,2.57,6.72,1,,,,1
lettre ,letter,B,174,6.08,1.72,4.30,2.28,5.59,1.91,3.88,2.57,6.50,1.47,4.65,2.01,6,4,1,NOUN,108.79,140.88,5.93,1,,,,1
lèvres,lips,AF,141,7.76,1.16,6.81,1.82,8.24,0.97,6.65,2.23,7.35,1.18,6.95,1.43,6,4,1,NOUN,33.91,201.28,6.76,1,,,,1
lézard,lizard,AF,364,5.62,1.53,3.57,1.89,5.29,1.69,3.59,1.80,5.90,1.37,3.55,2.01,6,5,2,NOUN,4.90,7.50,6.74,1,,,,
libellule,dragonfly,AF,344,6.24,1.53,3.68,1.92,6.88,1.45,3.65,1.90,5.70,1.42,3.70,1.98,9,7,3,NOUN,1.07,2.16,6.56,1,,,,
liberté,freedom,,,8.24,1.21,6.86,2.68,8.12,1.27,5.88,2.89,8.35,1.18,7.70,2.23,7,7,3,NOUN,76.28,93.31,2.75,,,,,1
licence,permit,,,6.62,1.65,5.63,2.38,6.13,2.23,4.75,3.28,6.68,1.58,5.73,2.26,7,5,2,NOUN,7.37,7.03,6.15,,,,,1
licorne ,unicorn,B,175,6.71,1.80,4.47,3.10,6.29,1.90,3.65,2.91,7.05,1.69,5.14,3.15,7,6,2,NOUN,1.41,1.28,6.06,1,,,,
lieu ,place,,,5.14,1.48,3.22,2.30,5.12,1.45,2.94,2.11,5.15,1.53,3.45,2.48,4,3,1,NOUN,153.12,213.38,3.91,,,,,
ligne,line,,,4.92,1.23,3.06,2.30,5.06,1.43,4.28,2.76,4.84,1.11,2.38,1.68,5,3,1,NOUN,69.42,101.01,5.73,,,,,
limace ,slug,B,176,3.76,1.71,3.54,2.32,4.41,1.50,2.94,1.98,3.20,1.70,4.05,2.50,6,5,2,NOUN,2.89,4.05,5.23,1,,,,
linge,linen,,,4.65,1.92,2.97,1.91,5.12,1.76,3.35,1.87,4.25,2.00,2.65,1.93,5,3,1,NOUN,16.75,44.53,6.36,,,,,
lion,lion,AF,140,6.70,1.90,5.62,2.72,7.12,1.65,6.12,2.52,6.35,2.06,5.20,2.88,4,3,1,NOUN,14.58,20.14,6.87,1,,,,1
lionceau ,lion cub,B,177,6.79,1.99,4.89,2.69,6.59,1.97,4.00,2.52,6.95,2.04,5.62,2.65,8,5,2,NOUN,0.21,0.61,5.55,1,,,,
lisse,smooth,,,5.21,1.22,3.26,2.07,5.25,1.22,2.92,2.02,5.20,1.23,3.32,2.08,5,3,1,ADJ,2.71,24.26,4.80,,,,,1
lit,bed,AF,22,8.34,1.12,4.84,3.48,8.12,1.11,4.18,3.23,8.52,1.12,5.38,3.65,3,2,1,NOUN,176.10,315.74,6.78,1,,,,1
livre,book,AF,30,6.16,2.36,4.35,2.63,6.59,2.03,4.82,2.30,5.80,2.61,3.95,2.87,5,4,1,NOUN,112.43,151.76,6.91,1,,,,1
locomotive ,locomotive,B,178,5.65,1.87,4.08,2.52,5.94,1.98,4.41,2.76,5.40,1.79,3.80,2.33,10,9,4,NOUN,3.69,10.61,6.69,1,,,,
loi,law,,,5.03,1.65,4.48,2.22,5.00,2.00,5.67,2.45,5.03,1.62,4.32,2.16,3,3,1,NOUN,87.37,44.46,3.51,,,,,1
long,long,,,4.96,1.70,4.54,2.07,4.75,1.39,4.25,2.19,4.99,1.74,4.58,2.07,4,2,1,ADJ,79.18,153.51,3.80,,,,,1
longue,long,,,5.00,1.62,4.09,2.31,5.50,0.90,3.75,2.53,4.91,1.71,4.15,2.28,6,3,1,ADJ,54.12,138.31,,,,,,1
louche,ladle,AF,360,5.12,1.33,3.10,2.15,4.94,0.54,3.67,1.94,5.22,1.62,2.78,2.22,6,3,1,NOUN,1.55,3.38,6.20,1,,,,
loup,wolf,AF,399,5.54,2.49,5.35,2.50,6.65,1.69,5.76,2.33,4.60,2.70,5.00,2.64,4,2,1,NOUN,20.97,22.30,6.88,1,,,,1
loupe ,magnifying glass,B,179,4.33,1.51,2.44,1.55,4.74,1.14,2.78,1.68,4.00,1.70,2.19,1.44,5,3,1,NOUN,1.66,4.86,6.30,1,,,,
lourd,heavy,,,3.38,1.33,4.05,2.36,4.44,0.73,4.00,2.00,3.24,1.33,4.06,2.42,5,3,1,ADJ,10.15,42.50,4.40,,,,1,1
luge,sled,AF,207,6.80,1.62,5.48,2.66,6.72,1.78,5.11,2.87,6.84,1.55,5.69,2.56,4,3,1,NOUN,1.19,1.42,5.66,1,,,,1
lumière,light,,,6.97,1.50,5.24,2.39,7.24,1.25,5.12,2.55,6.75,1.68,5.35,2.30,7,6,2,NOUN,116.02,238.65,5.35,,,,,1
lune,moon,AF,146,6.92,2.03,3.57,2.49,7.06,2.16,3.13,2.73,6.81,1.97,3.90,2.30,4,3,1,NOUN,58.29,63.24,6.87,1,,,,1
lunettes,glasses,AF,105,4.95,1.70,3.00,2.17,4.53,1.77,2.94,1.82,5.30,1.59,3.05,2.48,8,5,2,NOUN,31.61,67.84,6.76,1,,,,1
luxe,luxury,,,6.25,2.20,5.23,2.35,6.00,1.51,3.38,1.69,6.28,2.28,5.44,2.33,4,4,1,NOUN,15.42,38.65,4.30,,,,,1
machine,machine,,,4.81,1.81,3.76,2.45,4.82,1.70,3.88,2.39,4.80,1.94,3.65,2.56,7,5,2,NOUN,44.94,58.99,4.98,,,,,
magicien ,magician,B,180,7.00,1.95,4.89,2.83,6.94,1.78,5.18,2.65,7.05,2.11,4.67,3.01,8,7,3,NOUN,12.07,2.77,6.00,1,,,,
maillot,swimsuit,,,6.70,1.98,5.11,2.88,5.88,2.18,4.29,2.93,7.40,1.54,5.80,2.71,7,4,2,NOUN,8.44,15.27,6.48,,,,,
main,hand,AF,115,6.05,1.60,4.64,2.44,5.88,1.22,3.65,2.29,6.20,1.88,5.53,2.27,4,2,1,NOUN,286.62,788.72,6.85,1,,,,1
maïs,corn,AF,66,5.62,1.46,3.03,2.11,5.41,0.87,2.88,2.20,5.80,1.82,3.15,2.08,4,4,2,NOUN,6.33,6.42,6.79,1,,,,1
maison,house,AF,122,7.08,1.84,4.84,2.66,6.35,2.15,3.88,2.47,7.67,1.32,5.62,2.60,6,4,2,NOUN,570.30,461.55,6.67,1,,,,1
maîtrise,mastery,,,6.51,1.71,4.27,2.39,7.00,1.71,5.75,3.17,6.42,1.71,4.00,2.14,8,6,2,NOUN,4.16,7.70,2.93,,,,,1
mal,badly,,,1.74,1.19,5.83,2.52,3.67,1.32,5.44,2.01,1.49,0.91,5.88,2.58,3,3,1,NOUN,318.27,185.14,3.89,,,,,1
maladie,illness,,,1.60,1.03,4.28,3.10,2.22,1.26,4.44,2.73,1.25,0.67,4.19,3.33,7,6,3,NOUN,52.18,49.59,3.80,,,,,1
malédiction,curse,,,2.34,1.76,5.90,2.41,3.75,2.38,6.25,3.01,2.18,1.62,5.86,2.36,11,10,4,NOUN,13.27,7.57,,,,,,1
malheur,misfortune,,,1.92,1.48,4.35,2.92,1.94,1.64,5.24,2.80,1.90,1.37,3.60,2.87,7,5,2,NOUN,49.16,72.84,2.61,,,,,1
malice,mischief,,,5.87,2.12,5.84,2.13,5.00,2.59,6.25,2.01,6.03,2.00,5.77,2.16,6,5,2,NOUN,1.22,10.47,2.47,,,,,1
malle,trunk,,,5.05,1.30,3.45,2.30,4.67,1.00,4.00,2.12,5.10,1.33,3.38,2.33,5,3,1,NOUN,6.53,10.27,4.31,1,,,,1
manche,sleeve,,,4.98,1.36,2.68,1.99,5.33,0.91,3.44,1.76,4.78,1.54,2.25,2.02,6,3,1,NOUN,10.12,35.41,6.70,,,,,
manège ,merry-go-round,,,6.70,1.78,5.68,2.61,6.00,1.84,5.59,2.55,7.30,1.53,5.75,2.73,6,5,2,NOUN,5.22,13.51,5.41,,,,,
manque,lack,,,2.34,1.58,5.51,2.83,3.13,1.55,4.50,1.85,2.25,1.57,5.62,2.91,6,3,1,NOUN,24.48,36.28,2.43,,,,,1
manteau,coat,AF,64,5.63,2.45,3.61,2.34,5.82,1.74,3.29,2.02,5.48,2.94,3.86,2.59,7,4,2,NOUN,36.16,58.99,6.80,1,,,,1
mare,pool,,,4.94,1.45,3.46,2.14,4.83,1.58,3.94,2.10,5.00,1.39,3.19,2.15,4,3,1,NOUN,3.66,9.86,5.00,,,,,1
marelle ,hopscotch,B,183,5.49,1.82,3.89,2.64,4.76,1.75,3.18,2.70,6.10,1.68,4.50,2.50,7,5,2,NOUN,0.64,1.76,4.58,1,,,,
mariage,wedding,,,5.49,2.98,5.86,2.83,4.94,2.70,5.59,2.58,5.95,3.19,6.10,3.08,7,6,2,NOUN,158.58,70.68,5.40,,,,,1
marin ,sailor,B,184,4.86,2.16,3.14,2.23,4.88,2.18,3.41,1.91,4.85,2.21,2.90,2.49,5,4,2,NOUN,8.48,15.34,5.99,1,,,,
marteau,hammer,AF,114,5.00,1.72,3.27,2.39,5.88,1.58,3.76,2.44,4.25,1.48,2.85,2.32,7,5,2,NOUN,11.84,13.31,6.85,1,,,,1
masque,mask,AF,286,5.19,1.65,3.89,2.65,5.18,1.51,3.94,2.82,5.20,1.79,3.85,2.58,6,4,1,NOUN,23.16,28.45,6.23,1,,,,
maths,math,,,4.46,2.71,3.95,2.39,5.24,2.54,3.71,2.20,3.80,2.75,4.15,2.58,5,3,1,NOUN,10.66,3.38,5.00,,,,,
matin,morning,,,4.11,2.63,4.57,2.84,4.41,2.83,5.12,2.89,3.85,2.50,4.10,2.79,5,4,2,NOUN,265.03,376.89,4.83,,,,,1
méchanceté,wickedness,,,2.32,2.15,6.68,2.78,2.82,2.63,6.88,2.64,1.90,1.59,6.50,2.95,10,8,4,NOUN,3.38,11.22,2.68,,,,,1
